Title,Note,URL,Comment
Khao Gaeng Jek Pui (Je Chie),"Really delicious and popular khao gaeng, Thai curry rice, stall. Great vibes as everyone just sits on plastic stools that spill into the alley",https://www.google.com/maps/place/Khao+Gaeng+Jek+Pui+(Je+Chie)/data=!4m2!3m1!1s0x30e29922450dd985:0x851947ae4360e5a3,
Somsakpuob,Known for their crab over vermicelli noodles,https://www.google.com/maps/place/Somsakpuob/data=!4m2!3m1!1s0x30e298e5d000512f:0xd9a40c0124014ec4,
Sou Heng Tai House,,https://www.google.com/maps/place/Sou+Heng+Tai+House/data=!4m2!3m1!1s0x30e298df3a10d4b9:0x80e581270e92a2e9,
Khao Moo Daeng Si Morakot,"Specialty is khao moo daeng, a classic Thai Chinese dish. Rice topped with char siu, crispy pork, lap cheong, and a boiled egg. With house gravy poured over. Family run, Super generous with the meat,very popular with the locals",https://www.google.com/maps/place/Khao+Moo+Daeng+Si+Morakot/data=!4m2!3m1!1s0x30e2992713d4b2f9:0xc0f0e00dca7c9aba,
Baytong Chicken Rice,"Specialty is Betong Chicken Rice. It’s a unique version of chicken rice that I’ve never seen anywhere else, from the Betong region of Thailand next to the Malaysian border.. It’s cooked in a seasoned light soy sauce and has a a slight Chinese herbal taste. Dipping sauces all homemade. The chicken is local from the region and has a satisfying chew, like cartilage",https://www.google.com/maps/place/Baytong+Chicken+Rice/data=!4m2!3m1!1s0x30e29ef56dab495b:0xac7cfb13518e4484,
Tuengnua.Tuengtua,Rooftop mookrata,https://www.google.com/maps/place/Tuengnua.Tuengtua/data=!4m2!3m1!1s0x30e29fd9bb54ffed:0x98b8af07af80d498,
Rolling Roasters - Ekamai,"Coffee shop with creative espresso drinks and a cool spiral interior design, good place to work. Turns into a bar in the evening",https://www.google.com/maps/place/Rolling+Roasters+-+Ekamai/data=!4m2!3m1!1s0x30e29f11d083359b:0x94a3643be247410e,
Ann Guay Tiew Kua Gai,"Fried rice noodles, they have a special technique where they fry it until it gets crispy crunchy",https://www.google.com/maps/place/Ann+Guay+Tiew+Kua+Gai/data=!4m2!3m1!1s0x30e299234a6e4e3f:0x9f1a205557f19d77,
Pig Organ Soup,"Offal soup served in a literal hole in the wall alleyway, for breakfast or lunch",https://www.google.com/maps/place/Pig+Organ+Soup/data=!4m2!3m1!1s0x30e29fac95ec395b:0xa17c2a4bcf8ac513,
After You Dessert Cafe,"Many locations, but a great place for bingsu and other creative deserts. Their bingsu is very soft like snow",https://www.google.com/maps/place/After+You+Dessert+Cafe/data=!4m2!3m1!1s0x30e29e524fd5eac3:0x303a91811c57fae5,
Kuay Jab Mr. Joe,"Super good moo krab (crispy pork belly), the pork belly skin is so crunch and meat is soft. They do a moo krab plate and moo krab rice noodle roll soup with like 6 diff kinds of offal. Surprisingly cheap for how popular and good it is. One of those street food places that gets better the busier it gets",https://www.google.com/maps/place/Kuay+Jab+Mr.+Joe/data=!4m2!3m1!1s0x30e298b923b05b09:0xa48c51495edef067,
"REN - Cafe & Goods - Matcha, Coffee and Dessert",,"https://www.google.com/maps/place/REN+-+Cafe+%26+Goods+-+Matcha,+Coffee+and+Dessert/data=!4m2!3m1!1s0x30e2990293717be9:0xc5821496bb383e9d",
Khao Tom Santipap,"Thai Chinese dishes popular with students, just solid all around ",https://www.google.com/maps/place/Khao+Tom+Santipap/data=!4m2!3m1!1s0x30e2992e8986e585:0x8348165d56a88554,
Jae Wan,"Thai Chinese douhua desert place. Very popular with huge portions, you should order the dishes family style",https://www.google.com/maps/place/Jae+Wan/data=!4m2!3m1!1s0x30e299293ebc3217:0xdb2ef36a28b04a9e,
glo / afterglo bkk,"Kade's bar, a cafe in the daytime and wine bar at night. The nighttime bar is very aesthetic, good date vibes",https://www.google.com/maps/place/glo+%2F+afterglo+bkk/data=!4m2!3m1!1s0x30e299377bc980a3:0xf1715d7691de9ae6,
Elvis Suki and Seafood,"Known for their grilled scallops in the shell. Also has a very charismatic owner, Mr. Lee",https://www.google.com/maps/place/Elvis+Suki+and+Seafood/data=!4m2!3m1!1s0x30e299fd75a372fd:0x1e2ff10fd87ce04f,
