Title,Note,URL,Comment
ข้าวราดแกงวราภรณ์,"Thai curry, only open for breakfast",https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%A3%E0%B8%B2%E0%B8%94%E0%B9%81%E0%B8%81%E0%B8%87%E0%B8%A7%E0%B8%A3%E0%B8%B2%E0%B8%A0%E0%B8%A3%E0%B8%93%E0%B9%8C/data=!4m2!3m1!1s0x30e2996e3e546c5d:0x8556deec5bd7921f,
Hot Pot Icecream Yotse,,https://www.google.com/maps/place/Hot+Pot+Icecream+Yotse/data=!4m2!3m1!1s0x30e2993b0e4471cf:0xd1bd19f11e02b318,
Nhong Rim Klong,Crab omelet ,https://www.google.com/maps/place/Nhong+Rim+Klong/data=!4m2!3m1!1s0x30e29f72cd85f66b:0x1b91d2763b6a91bd,
Fah Fried Chicken,,https://www.google.com/maps/place/Fah+Fried+Chicken/data=!4m2!3m1!1s0x30e299de70cbbad1:0xfd36bf9697041df4,
Nang Loeng Market,"Foodie stalls, morning market",https://www.google.com/maps/place/Nang+Loeng+Market/data=!4m2!3m1!1s0x30e29940b12130e7:0xade86064ea57c64c,
MBK Food Legends,,https://www.google.com/maps/place/MBK+Food+Legends/data=!4m2!3m1!1s0x30e29ed2a9b23f65:0xe84e371c3a19c2ba,
Mae Klong Hua Pla Mo Fai,"Michelin recommended seafood, crab omelette",https://www.google.com/maps/place/Mae+Klong+Hua+Pla+Mo+Fai/data=!4m2!3m1!1s0x30e29777f56a8471:0xd03c37d3c56d43d1,
Yim Yim,"Authentic teochew cuisine, unchanged from when it opened decades ago. Dishes that's even hard to get in Chaozhou now",https://www.google.com/maps/place/Yim+Yim/data=!4m2!3m1!1s0x30e29921c7a167c3:0x70fc2a54788353d7,
Ki'son Roasted Goose,Lucas Sin's rec for roasted goose,https://www.google.com/maps/place/Ki'son+Roasted+Goose/data=!4m2!3m1!1s0x3404018fba29aa8b:0x454200394604a07,
Cheung Hing Coffee Shop,A bit more bougie take on cha chaan teng,https://www.google.com/maps/place/Cheung+Hing+Coffee+Shop/data=!4m2!3m1!1s0x3404004e9bb629d9:0x500cf71b707ddcd,
Taiwan Beef Noodles · Chicken Soup,Beef noodle soup featured by Lucas Sin in Street Eats,https://www.google.com/maps/place/Taiwan+Beef+Noodles+%C2%B7+Chicken+Soup/data=!4m2!3m1!1s0x3442abdb4423942f:0x232f9d5218cd3a6a,
Zhongshuijiao,,https://www.google.com/maps/place/Zhongshuijiao/data=!4m2!3m1!1s0x36efc5216443129f:0x65dc612988e9caac,
National Museum Bangkok,,https://www.google.com/maps/place/National+Museum+Bangkok/data=!4m2!3m1!1s0x30e2990cc24b766d:0x55fea5dec504fd3b,
Nueng Nom Nua (Banthat Thong),Chocolate Charcoal Toast with Pandan Kaya Dip,https://www.google.com/maps/place/Nueng+Nom+Nua+(Banthat+Thong)/data=!4m2!3m1!1s0x30e29919fb50ec5b:0x50e81351f10c270d,
June Pang,shokupan toast,https://www.google.com/maps/place/June+Pang/data=!4m2!3m1!1s0x30e29959368e6e63:0xdde292177c6d87d6,
Black Sesame House by Sweet Circle,,https://www.google.com/maps/place/Black+Sesame+House+by+Sweet+Circle/data=!4m2!3m1!1s0x30e299f34684f22f:0x3529fe0c5253d1d7,
Pa Nee Kung Chae Nam Pla,Kung Chae Nam Pla (shrimp in fish sauce).,https://www.google.com/maps/place/Pa+Nee+Kung+Chae+Nam+Pla/data=!4m2!3m1!1s0x30e299ba2a3fc389:0xd8552949491c7292,
HAAB.BKK Bantadthong - ขนมไข่สงขลา เจ้าดังบรรทัดทอง,"Thai egg pastries, kanom kai",https://www.google.com/maps/place/HAAB.BKK+Bantadthong+-+%E0%B8%82%E0%B8%99%E0%B8%A1%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%AA%E0%B8%87%E0%B8%82%E0%B8%A5%E0%B8%B2+%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%94%E0%B8%B1%E0%B8%87%E0%B8%9A%E0%B8%A3%E0%B8%A3%E0%B8%97%E0%B8%B1%E0%B8%94%E0%B8%97%E0%B8%AD%E0%B8%87/data=!4m2!3m1!1s0x30e299442475f465:0xbbf75398357d901e,
Dongzi Kouzhang Lao'er Liangfen,Sweetwater noodles tian shui mian,https://www.google.com/maps/place/Dongzi+Kouzhang+Lao'er+Liangfen/data=!4m2!3m1!1s0x36efdacb4ad090f3:0xb5baa269440f9f1b,
Ho'o Hui - The Gathering Place,,https://www.google.com/maps/place/Ho'o+Hui+-+The+Gathering+Place/data=!4m2!3m1!1s0x795406d27d1889eb:0x37f1e211277346f9,
Curry Leaves Bistro,,https://www.google.com/maps/place/Curry+Leaves+Bistro/data=!4m2!3m1!1s0x808febd8de3034d5:0x4378574b51967933,
Tuyết Bún Chả 34,,https://www.google.com/maps/place/Tuy%E1%BA%BFt+B%C3%BAn+Ch%E1%BA%A3+34/data=!4m2!3m1!1s0x3135abaf1da7b7af:0x767aa83a09e92b6e,
Quán Cháo Trai,,https://www.google.com/maps/place/Qu%C3%A1n+Ch%C3%A1o+Trai/data=!4m2!3m1!1s0x3135abf2f2aa0ee9:0xdbd4863fb54af14b,
Ryoku Cafe,,https://www.google.com/maps/place/Ryoku+Cafe/data=!4m2!3m1!1s0x30e29d390851df6b:0x6bcb2db036c49bbf,
Lan Fong Yuen,,https://www.google.com/maps/place/Lan+Fong+Yuen/data=!4m2!3m1!1s0x3404007b6fb3ed51:0x3f55838a3a330da3,
Kam's Roast Goose,,https://www.google.com/maps/place/Kam's+Roast+Goose/data=!4m2!3m1!1s0x3404005ba1a3cb7b:0x954356b5e53b3505,
Bing Kee Cha Dong,,https://www.google.com/maps/place/Bing+Kee+Cha+Dong/data=!4m2!3m1!1s0x340401ab45c1ad5d:0x1885489acb0739ad,
Big JJ Seafood Hotpot,Hot pot where they handmake all the ingredients,https://www.google.com/maps/place/Big+JJ+Seafood+Hotpot/data=!4m2!3m1!1s0x340401ecded99b1b:0xc18d0ba1a922867e,
Oi Man Sang,"Dai Pai Dong (big license stall), seafood street food",https://www.google.com/maps/place/Oi+Man+Sang/data=!4m2!3m1!1s0x340400b6a90131ad:0x89d323b31d524ac7,
Sister Wah Beef Brisket,,https://www.google.com/maps/place/Sister+Wah+Beef+Brisket/data=!4m2!3m1!1s0x3404005554dd3513:0x79b611ab7fd021ac,
Luang Prabang,,https://www.google.com/maps/place/Luang+Prabang/data=!4m2!3m1!1s0x312f2a3f413d1ba3:0xac9749a9608e6a56,
Kai Kai Dessert,,https://www.google.com/maps/place/Kai+Kai+Dessert/data=!4m2!3m1!1s0x13ff465cfe3b1415:0xeed851ac7ed49514,
Sun King Yuen Curry Restaurant,curry pork chop,https://www.google.com/maps/place/Sun+King+Yuen+Curry+Restaurant/data=!4m2!3m1!1s0x3404005ca52615bb:0xfd990400e92e0534,
Lunette,Features on chefs table ,https://www.google.com/maps/place/Lunette/data=!4m2!3m1!1s0x808581007982bf85:0xdc156dac94769a76,
Pingyao,,https://www.google.com/maps/place/Pingyao/data=!4m2!3m1!1s0x36750a69fc81187f:0xeaf4b4528d55f07e,
Yogyakarta,"Temples, hiking, still pretty modern",https://www.google.com/maps/place/Yogyakarta/data=!4m2!3m1!1s0x2e7a5787bd5b6bc5:0x21723fd4d3684f71,
Hua Takhe Old Market,,https://www.google.com/maps/place/Hua+Takhe+Old+Market/data=!4m2!3m1!1s0x311d6632a63211d5:0xf694e6269388bc48,
Hing Kee Restaurant,,https://www.google.com/maps/place/Hing+Kee+Restaurant/data=!4m2!3m1!1s0x340400c05733e8f3:0x6bd784ed56b0a43e,
Kalamansi kafe,Filipino food,https://www.google.com/maps/place/Kalamansi+kafe/data=!4m2!3m1!1s0x30e29f20ad820e07:0xc64a5cee2cd270e3,
Kwan-Riam Floating Market,Give alms to the monks,https://www.google.com/maps/place/Kwan-Riam+Floating+Market/data=!4m2!3m1!1s0x311d6475f406c217:0xc07d19edcb1c138f,
Nok Kraton Sing Shop,santol fruit,https://www.google.com/maps/place/Nok+Kraton+Sing+Shop/data=!4m2!3m1!1s0x30e280c924da31e1:0x8bb7aa59f491b0fe,
Taling Pling Sukhumvit 34,,https://www.google.com/maps/place/Taling+Pling+Sukhumvit+34/data=!4m2!3m1!1s0x30e29f070c63e9cb:0xb9cf375747c47070,
Benjarong Bangkok - Baan Dusit Thani,,https://www.google.com/maps/place/Benjarong+Bangkok+-+Baan+Dusit+Thani/data=!4m2!3m1!1s0x30e2993a67658f9f:0xeeb3a6b5a674c4b0,
Issaya Siamese Club,,https://www.google.com/maps/place/Issaya+Siamese+Club/data=!4m2!3m1!1s0x30e29f3d640b7909:0xd9b22f7e4b871fa2,
Tuang Dim Sum,,https://www.google.com/maps/place/Tuang+Dim+Sum/data=!4m2!3m1!1s0x30e298be6737151f:0xa726306b0a12eb16,
Gülhane Şark Sofrası,,https://www.google.com/maps/place/G%C3%BClhane+%C5%9Eark+Sofras%C4%B1/data=!4m2!3m1!1s0x14cac8f5da1be9bf:0x2cde93a2af68367f,
200 Gradi,,https://www.google.com/maps/place/200+Gradi/data=!4m2!3m1!1s0x132f606149b75669:0xdb30ae315bc790a0,
Hop Yik Tai,Breakfast,https://www.google.com/maps/place/Hop+Yik+Tai/data=!4m2!3m1!1s0x340400b37af466a3:0x3e9ed02065c1365,
Liuyang,"Producer of fireworks, famous for its weekly fireworks show",https://www.google.com/maps/place/Liuyang/data=!4m2!3m1!1s0x3426c7c9f2acd245:0xafeb69c605dcf834,
Trapizzino | Trastevere,"
Popular for some sandwich they do take away",https://www.google.com/maps/place/Trapizzino+%7C+Trastevere/data=!4m2!3m1!1s0x132f6047a4202f85:0x764672d7a398ae61,
Basilica of Sant’Agostino in Campo Marzio,,https://www.google.com/maps/place/Basilica+of+Sant%E2%80%99Agostino+in+Campo+Marzio/data=!4m2!3m1!1s0x132f605056bbbf59:0x57d6257c62df6f89,
Beyti,,https://www.google.com/maps/place/Beyti/data=!4m2!3m1!1s0x14caa3b6a5ef8647:0x37ef2c53a092be62,
Basilica of San Pietro in Vincoli,,https://www.google.com/maps/place/Basilica+of+San+Pietro+in+Vincoli/data=!4m2!3m1!1s0x132f61b11e2931f5:0x323bdc76e4abd430,
Baan Pee Lek Restaurant,"Step into this hidden sidewalk restaurant in Prawet and you'll find a dining room decorated with vintage European woodwork. The menu features dishes you won't find anywhere else, and features specialties from the owner's hometowns of Chiang Mai and Bangkok. Recommended dishes include dry-fried beef massaman curry, Luang Prabang salad, and minced pork with salted fish.",https://www.google.com/maps/place/Baan+Pee+Lek+Restaurant/data=!4m2!3m1!1s0x311d5fd79a45dfdd:0x36090926dc5d4d0b,
Ongtong Khaosoi Ari Branch,,https://www.google.com/maps/place/Ongtong+Khaosoi+Ari+Branch/data=!4m2!3m1!1s0x30e29c1d97b7694f:0x166492c07fae387f,
Zübeyir Ocakbaşı/Taksim,,https://www.google.com/maps/place/Z%C3%BCbeyir+Ocakba%C5%9F%C4%B1%2FTaksim/data=!4m2!3m1!1s0x14caa1a41c667939:0x4b0015036a486a8b,
Siirt Şeref Buryan1892,,https://www.google.com/maps/place/Siirt+%C5%9Eeref+Buryan1892/data=!4m2!3m1!1s0x14cab9e43a49239d:0xdfe633f168e01444,
Parco degli Acquedotti,,https://www.google.com/maps/place/Parco+degli+Acquedotti/data=!4m2!3m1!1s0x132589dc7d914919:0x5f4eeb7a244a15b6,
Siam Square,"Buskers, like Hongdae vibe",https://www.google.com/maps/place/Siam+Square/data=!4m2!3m1!1s0x30e29f2a0551e5f9:0xa8864ee239de9339,
Kurtuluş,,https://www.google.com/maps/place/Kurtulu%C5%9F/data=!4m2!3m1!1s0x14cab704ca09d42f:0x610e72264ecc8f31,
Antico Caffè Greco,,https://www.google.com/maps/place/Antico+Caff%C3%A8+Greco/data=!4m2!3m1!1s0x132f60550f01ddd9:0x748136695852d635,
Cantina e Cucina,,https://www.google.com/maps/place/Cantina+e+Cucina/data=!4m2!3m1!1s0x132f604568d4a29f:0x536cf83571d46791,
Frigidarium,,https://www.google.com/maps/place/Frigidarium/data=!4m2!3m1!1s0x132f604517b66b91:0xde0b80504f7164f,
Osteria da Fortunata,Multiple locations,https://www.google.com/maps/place/Osteria+da+Fortunata/data=!4m2!3m1!1s0x132f60458de1f227:0xe393531b25d31389,
