Title,Note,URL,Comment
Porto's Bakery and Cafe,,https://www.google.com/maps/place/Porto's+Bakery+and+Cafe/data=!4m2!3m1!1s0x80c29581d2fc8333:0x2bbe1a28d46a2726,
La Sagrada Familia,,https://www.google.com/maps/place/La+Sagrada+Familia/data=!4m2!3m1!1s0x12a4a2dcd83dfb93:0x9bd8aac21bc3c950,
Tibidabo,,https://www.google.com/maps/place/Tibidabo/data=!4m2!3m1!1s0x12a4982760ca89c1:0x2fe459482acc3dcb,
La Pedrera-Casa Milà,,https://www.google.com/maps/place/La+Pedrera-Casa+Mil%C3%A0/data=!4m2!3m1!1s0x12a4a293998ae1d5:0xc49fa3624f371e6a,
Casa Batlló,,https://www.google.com/maps/place/Casa+Batll%C3%B3/data=!4m2!3m1!1s0x12a4a2ed494b4161:0x40d2782f9e2e4e0f,
Onefam Paralelo,,https://www.google.com/maps/place/Onefam+Paralelo/data=!4m2!3m1!1s0x12a4a25d67891eb9:0x70a4fb82daeece6a,
Plaça Reial,Beautiful square just to chill in,https://www.google.com/maps/place/Pla%C3%A7a+Reial/data=!4m2!3m1!1s0x12a4a257f0c95555:0x87322aa971f933a1,
