Title,Note,URL,Comment
Jello Mold,Hike up a volcano with great views. Wild rams and cows ,https://www.google.com/maps/place/Jello+Mold/data=!4m2!3m1!1s0x79538b894a1641b1:0x1d242362f1059758,
Makahi St trailhead,Rainforest,https://www.google.com/maps/place/Makahi+St+trailhead/data=!4m2!3m1!1s0x79540b7f9d456c7f:0x661556143575dbd2,
Honokohau Beach,Tide pools and sea turtles,https://www.google.com/maps/place/Honokohau+Beach/data=!4m2!3m1!1s0x79540e0eafed4009:0x552abff34f0da226,
